번호,학년,장소명,주소,추천이유
167,5학년,동대문구 답십리도서관,서울 동대문구 서울시립대로4길 75 동대문구 답십리 도서관,"다양하고 재미있는 도서들을 볼수도 있고, 빌릴수도 있다. 무엇보다 학교숙제에 도움이 될수있는 자료들을 쉽게 찾아볼수 있는 곳이다. 어린이는 물론 유아, 어른들까지도 모두 책과 친해질수 있고, 다양한 문화프로그램도 있어 동대문구에 산다면 꼭 방문해보기 추천!"
168,5학년,연화법사당,서울특별시 동대문구 경희대로3길 56 연화사법당,연화사는 절이지만 책을 볼수있는 작은 도서관이있다.
169,5학년,꿈동산어린이공원,,여러가지 운동기구와 놀이터가있다.
170,6학년,동대문구 답십리도서관,서울 동대문구 서울시립대로4길 75,신답초에서도 가까운 답십리도서관은 매주 금요일과 법정공휴일은 휴관하며 매주 책 이용하기에 부담없이 들릴 수 있는 곳입니다. 1층에 있는 어린이유아열람실을 자주 이용하는데 유료로 운영되는 맞춤별 문화프로그램도 신청하여 이용할 수 있습니다. 매달 무료로 운영하는 독서행사와 독서문화프로그램도 갖춰져있어 시간이 되는때에 미리 신청하여 참여하고 5층에는 하늘정원이 있어 피크닉 온것처럼 독서할 수 있는 공간도 있어 책보기 좋습니다.
171,6학년,시립동대문청소년센터,서울특별시 동대문구 제기로33길 25,"이곳은 청소년들이 즐길 수 있는 소행성 공간이 있어 게임, 독서, 노래방 이용 등 누구의 간섭없이 다양한 활동을 해볼 수 있습니다. 또한 아트박스에서는 요일별로 다양한 공예체험을 해볼 수 있고 매월 마다는 이벤트 데이가 이뤄져 참여를 하면 간식도 받을 수 있었습니다. 체육시설도 있는 곳이라 등록해서 수영, 스트레칭도 할 수 있어 한 장소에서 여러가지 활동을 해볼 수 있어 추천합니다."
172,6학년,이연우(동국대학교사범대학부속고등학교 연지관 1층 천문교실,서울 동대문구 장안벚꽃로 201,"매년 동대문구에서 천문 교육을 들을 수 있는 곳이예요. 미리 학년별로 신청을 받아서 진행하기도하고 지역주민을 위해 천문아카데미를 열고 있어요. 일반인의 눈높이에 맞춰 싶고 재미나게 별자리, 행성 등 이야기를 들은 뒤 해가 떨어진 시간애 맞춰 옥상에 있는 천문대에 올라가 망원경으로 직접 행성과 별을 볼 수 있답니다."
173,6학년,선농단역사문화관,서울 동대문구 무학로44길38,농사의 풍년을 기원하는 선농제를 지낸 선농단을볼 수 있고 농경역사와 관련된 전시를 볼 수 있습니다. 동대문구의 유적 탐방이나 도시농부 프로그램도 다양하게 진행되어 참여거리가 많아 추천합니다.
174,6학년,배봉산둘레길,서울시 동대문구 휘경2동,배봉산 둘레길 진흙탕과 황톳길은 더운 여름에 진흙을 밟으니 시원하고 건강해지는 기분이 든다.
175,6학년,이문어린이도서관 숲속작은도서관,,이문어린이도서관인 숲속작은도서관은 천장산에 있는 작은 도서관인데 마치 숲속 나무집에 온 듯한 아늑하고 아기자기한 공간입니다. 어린이를 위한 책이 많고 즐겁게 혼자 책 읽을수 있는 공간이 많습니다.
176,6학년,동대문구 수상스포츠 체험교육장,서울 동대문구 이문동 352-2 이문수변공원(이화교하부),수상스포츠 체험을 짜릿하게 즐길 수 있는 곳이예요. 체험은 '서울시 공공서비스예약' 사이트를 통해 사전신청을 하고 매주 월요일은 휴장하니 날과 시간을 맞춰 방문을 해요. 출석 확인을 하고 준비 운동을 짧게 하고 구명조끼를 착용해요. 체험시간 80분이며 안전하게 패들보드나 카약을 체험 할 수 있고 중랑천의 바람을 맞으며 물 위에서 재미난 시간을 보낼 수 있어서 추천해봅니다.
177,6학년,안동집 손칼국시,서울 동대문구 고산자로 36길 3,경동시장 지하상가에 있는 안동집 손칼국시는 외할아버지 고향인 안동의 맛이 어우러져 반갑게 갔던 곳입니다. 여기 사장님이 흑백요리사란 프로그램에 나와 유명해져서인지 웨이팅이 있는 경우가 있습니다. 멸치육수 기반의 담백한 손국시가 특징인데 수육이 더 맛있었습니다. 가족과 외식할 때 한 번 가보시는건 어떨까요?
178,6학년,동대문구 교육지원센터,,동대문구민의 교육 격차를 해소하고 미래 인재를 양성하기 위해 전문적인 진로·진학·학습 정보를 제공하는 시설입니다. 이곳에서 학생과 학부모릐 역량강화 교육을 받을 수 있고 독서 코칭도 이뤄져 신답 학생들도 이용하길 바라는 마음에 추천해봅니다.
179,6학년,서울시립대학교,서울 동대문구 서울시립대로 163,"서울시립대학교는 동대문구 안에 있는 명문대학교로 교정이 아름답기로 유명해 수많은 드라마,영화, 광고의 촬영지 장소로 나오기도 합니다. 가족이나 친구와 함께 장소를 찾아보고 그곳에서 사진도 찍으면서 추억을 남겨 보는 것 어떨까요? 창공관: 더 글로리 법학관: 이태원클라쓰 음악관: 펜트하우스 시즌3 21세기관: 박보검 CF 촬영지 또 대학교 안 박물관도 둘러볼 수 있고 평생교육관을 이용해서 교육도 받을 수 있는 곳입니다."
